disability_category,accommodation_type,functional_limitation,cost_tier,employer_size,industry,employee_tenure_years,days_to_implement,prior_requests,outcome_positive
Cognitive,Policy Change / Exemption,Communication,$1–$500,Small (<50),Retail/Hospitality,4.0,14,0,1
Cognitive,Leave of Absence,Stamina/Endurance,"$501–$2,000",Large (500+),Healthcare,3.8,17,1,1
Chronic Illness,Physical Modification,Mobility,$1–$500,Large (500+),Healthcare,7.6,28,1,1
Psychiatric,Flexible Scheduling,Concentration/Focus,$1–$500,Large (500+),Education,9.4,4,1,1
Musculoskeletal,Remote Work / Telework,Mobility,$1–$500,Small (<50),Government/Public Sector,0.5,16,2,1
Psychiatric,Assistive Technology,Vision,$1–$500,Small (<50),Finance/Insurance,2.1,21,3,0
Psychiatric,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Large (500+),Retail/Hospitality,4.3,23,0,1
Sensory (Vision/Hearing),Remote Work / Telework,Mobility,$1–$500,Small (<50),Healthcare,7.4,18,2,0
Sensory (Vision/Hearing),Remote Work / Telework,Dexterity,$1–$500,Mid-size (50–499),Healthcare,4.2,71,0,1
Cognitive,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Healthcare,15.5,12,1,1
Musculoskeletal,Assistive Technology,Mobility,$1–$500,Small (<50),Retail/Hospitality,5.9,28,0,1
Musculoskeletal,Physical Modification,Mobility,$0 (No Cost),Small (<50),Healthcare,1.2,74,0,1
Musculoskeletal,Flexible Scheduling,Hearing,$1–$500,Large (500+),Education,7.1,23,0,1
Psychiatric,Assistive Technology,Dexterity,$0 (No Cost),Large (500+),Technology,4.7,25,1,1
Psychiatric,Leave of Absence,Stamina/Endurance,$1–$500,Large (500+),Retail/Hospitality,2.5,13,0,0
Neurological,Leave of Absence,Concentration/Focus,"$501–$2,000",Small (<50),Government/Public Sector,0.7,15,1,0
Psychiatric,Leave of Absence,Concentration/Focus,$0 (No Cost),Small (<50),Healthcare,0.5,39,0,0
Sensory (Vision/Hearing),Assistive Technology,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Education,0.9,10,0,1
Musculoskeletal,Leave of Absence,Mobility,$0 (No Cost),Mid-size (50–499),Technology,2.3,7,0,1
Chronic Illness,Remote Work / Telework,Hearing,$0 (No Cost),Small (<50),Retail/Hospitality,5.2,16,1,1
Sensory (Vision/Hearing),Remote Work / Telework,Dexterity,"$2,001+",Large (500+),Manufacturing,8.5,83,0,1
Musculoskeletal,Flexible Scheduling,Communication,$1–$500,Large (500+),Technology,0.8,14,0,1
Chronic Illness,Assistive Technology,Dexterity,$0 (No Cost),Mid-size (50–499),Manufacturing,0.5,27,0,1
Chronic Illness,Remote Work / Telework,Hearing,$0 (No Cost),Mid-size (50–499),Education,1.4,44,0,1
Musculoskeletal,Remote Work / Telework,Communication,"$2,001+",Mid-size (50–499),Manufacturing,6.6,21,0,1
Musculoskeletal,Leave of Absence,Stamina/Endurance,$0 (No Cost),Small (<50),Healthcare,0.7,14,0,1
Sensory (Vision/Hearing),Remote Work / Telework,Vision,$1–$500,Small (<50),Healthcare,6.3,16,0,1
Psychiatric,Remote Work / Telework,Mobility,$0 (No Cost),Mid-size (50–499),Healthcare,6.2,33,1,0
Psychiatric,Flexible Scheduling,Vision,$0 (No Cost),Mid-size (50–499),Government/Public Sector,7.4,44,0,1
Psychiatric,Assistive Technology,Concentration/Focus,$1–$500,Mid-size (50–499),Finance/Insurance,1.7,10,1,1
Chronic Illness,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Large (500+),Education,2.3,6,1,1
Sensory (Vision/Hearing),Remote Work / Telework,Dexterity,$1–$500,Small (<50),Education,4.3,18,1,0
Sensory (Vision/Hearing),Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Small (<50),Finance/Insurance,29.0,28,0,1
Chronic Illness,Leave of Absence,Communication,$1–$500,Small (<50),Technology,1.9,31,0,1
Musculoskeletal,Policy Change / Exemption,Stamina/Endurance,$1–$500,Small (<50),Education,4.2,28,2,1
Neurological,Assistive Technology,Concentration/Focus,$1–$500,Mid-size (50–499),Education,12.4,56,1,0
Psychiatric,Physical Modification,Mobility,$0 (No Cost),Large (500+),Government/Public Sector,3.1,19,1,1
Psychiatric,Policy Change / Exemption,Mobility,$1–$500,Large (500+),Government/Public Sector,2.9,78,1,0
Sensory (Vision/Hearing),Ergonomic Equipment,Stamina/Endurance,"$2,001+",Mid-size (50–499),Technology,1.8,15,1,1
Neurological,Physical Modification,Communication,$0 (No Cost),Mid-size (50–499),Education,4.1,51,2,1
Neurological,Policy Change / Exemption,Mobility,$0 (No Cost),Small (<50),Healthcare,1.2,10,2,1
Chronic Illness,Policy Change / Exemption,Vision,"$501–$2,000",Mid-size (50–499),Retail/Hospitality,2.8,27,0,1
Sensory (Vision/Hearing),Leave of Absence,Mobility,$0 (No Cost),Mid-size (50–499),Education,2.1,56,2,1
Neurological,Assistive Technology,Communication,$1–$500,Large (500+),Government/Public Sector,6.9,25,0,1
Neurological,Flexible Scheduling,Communication,$1–$500,Mid-size (50–499),Healthcare,3.2,14,3,1
Musculoskeletal,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Small (<50),Manufacturing,1.4,14,0,1
Psychiatric,Assistive Technology,Dexterity,$1–$500,Small (<50),Technology,4.2,15,2,1
Musculoskeletal,Assistive Technology,Communication,$1–$500,Small (<50),Technology,2.8,17,1,1
Psychiatric,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Large (500+),Finance/Insurance,1.7,75,1,1
Musculoskeletal,Assistive Technology,Hearing,"$501–$2,000",Small (<50),Technology,0.5,7,2,1
Chronic Illness,Assistive Technology,Dexterity,$0 (No Cost),Small (<50),Healthcare,4.6,29,0,0
Psychiatric,Leave of Absence,Dexterity,$0 (No Cost),Small (<50),Education,9.9,43,1,0
Psychiatric,Flexible Scheduling,Vision,"$501–$2,000",Large (500+),Healthcare,0.8,13,2,0
Musculoskeletal,Remote Work / Telework,Vision,$0 (No Cost),Mid-size (50–499),Technology,2.0,48,0,1
Musculoskeletal,Leave of Absence,Mobility,"$501–$2,000",Mid-size (50–499),Technology,4.2,12,2,1
Sensory (Vision/Hearing),Policy Change / Exemption,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Healthcare,0.7,21,0,1
Neurological,Ergonomic Equipment,Stamina/Endurance,$0 (No Cost),Small (<50),Healthcare,0.5,16,0,1
Chronic Illness,Policy Change / Exemption,Mobility,$0 (No Cost),Large (500+),Education,0.5,30,1,1
Sensory (Vision/Hearing),Policy Change / Exemption,Mobility,$1–$500,Small (<50),Education,0.5,61,0,1
Musculoskeletal,Remote Work / Telework,Concentration/Focus,"$501–$2,000",Small (<50),Government/Public Sector,0.5,16,0,1
Chronic Illness,Remote Work / Telework,Stamina/Endurance,"$501–$2,000",Mid-size (50–499),Healthcare,1.4,35,1,1
Psychiatric,Remote Work / Telework,Dexterity,"$2,001+",Small (<50),Government/Public Sector,6.0,31,1,0
Psychiatric,Physical Modification,Dexterity,$1–$500,Small (<50),Manufacturing,6.1,31,0,1
Psychiatric,Policy Change / Exemption,Mobility,$1–$500,Large (500+),Retail/Hospitality,3.0,20,0,1
Sensory (Vision/Hearing),Remote Work / Telework,Mobility,$1–$500,Mid-size (50–499),Healthcare,7.2,37,1,1
Musculoskeletal,Assistive Technology,Communication,"$501–$2,000",Small (<50),Technology,3.2,31,1,0
Psychiatric,Remote Work / Telework,Stamina/Endurance,$1–$500,Mid-size (50–499),Manufacturing,0.5,19,1,1
Neurological,Flexible Scheduling,Vision,"$501–$2,000",Large (500+),Retail/Hospitality,2.3,73,0,0
Psychiatric,Flexible Scheduling,Vision,$0 (No Cost),Small (<50),Retail/Hospitality,3.3,49,1,1
Sensory (Vision/Hearing),Flexible Scheduling,Vision,$1–$500,Small (<50),Technology,2.6,31,1,1
Musculoskeletal,Ergonomic Equipment,Vision,$1–$500,Mid-size (50–499),Government/Public Sector,4.3,13,2,1
Musculoskeletal,Remote Work / Telework,Hearing,$0 (No Cost),Mid-size (50–499),Government/Public Sector,1.4,76,2,1
Musculoskeletal,Leave of Absence,Communication,$0 (No Cost),Large (500+),Manufacturing,5.7,54,0,1
Sensory (Vision/Hearing),Physical Modification,Concentration/Focus,"$2,001+",Mid-size (50–499),Government/Public Sector,5.4,18,0,1
Musculoskeletal,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Small (<50),Education,1.0,26,1,1
Psychiatric,Flexible Scheduling,Communication,$0 (No Cost),Mid-size (50–499),Finance/Insurance,9.3,22,1,1
Psychiatric,Leave of Absence,Mobility,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,2.1,17,1,1
Cognitive,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Small (<50),Manufacturing,7.8,22,1,1
Cognitive,Policy Change / Exemption,Hearing,$1–$500,Mid-size (50–499),Technology,3.3,4,0,0
Sensory (Vision/Hearing),Flexible Scheduling,Concentration/Focus,"$2,001+",Small (<50),Technology,0.5,20,0,0
Musculoskeletal,Physical Modification,Hearing,"$2,001+",Large (500+),Retail/Hospitality,0.8,20,1,1
Cognitive,Leave of Absence,Dexterity,$1–$500,Large (500+),Manufacturing,12.7,42,1,0
Chronic Illness,Remote Work / Telework,Stamina/Endurance,$1–$500,Mid-size (50–499),Government/Public Sector,2.7,53,1,1
Sensory (Vision/Hearing),Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Large (500+),Technology,6.0,44,0,1
Musculoskeletal,Ergonomic Equipment,Mobility,"$501–$2,000",Large (500+),Finance/Insurance,3.3,36,0,1
Musculoskeletal,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Small (<50),Healthcare,1.7,12,0,1
Psychiatric,Assistive Technology,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Education,10.3,3,2,1
Cognitive,Assistive Technology,Hearing,"$2,001+",Mid-size (50–499),Government/Public Sector,2.0,31,2,0
Musculoskeletal,Remote Work / Telework,Mobility,"$501–$2,000",Small (<50),Finance/Insurance,4.6,51,2,1
Psychiatric,Leave of Absence,Mobility,$0 (No Cost),Mid-size (50–499),Finance/Insurance,0.7,61,1,1
Musculoskeletal,Leave of Absence,Dexterity,$1–$500,Small (<50),Finance/Insurance,1.2,10,3,0
Neurological,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Large (500+),Retail/Hospitality,15.3,40,1,1
Psychiatric,Leave of Absence,Communication,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,8.1,6,1,0
Chronic Illness,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Large (500+),Government/Public Sector,15.0,10,1,1
Sensory (Vision/Hearing),Flexible Scheduling,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Education,12.4,18,0,1
Sensory (Vision/Hearing),Assistive Technology,Stamina/Endurance,$1–$500,Small (<50),Finance/Insurance,5.8,2,0,1
Musculoskeletal,Ergonomic Equipment,Mobility,$0 (No Cost),Large (500+),Finance/Insurance,7.2,64,0,1
Sensory (Vision/Hearing),Flexible Scheduling,Mobility,$1–$500,Small (<50),Government/Public Sector,10.5,22,0,1
Neurological,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Small (<50),Education,1.7,14,3,1
Sensory (Vision/Hearing),Assistive Technology,Mobility,"$2,001+",Mid-size (50–499),Finance/Insurance,1.1,7,0,0
Psychiatric,Leave of Absence,Mobility,$1–$500,Large (500+),Healthcare,0.5,36,1,1
Musculoskeletal,Flexible Scheduling,Communication,"$501–$2,000",Mid-size (50–499),Healthcare,4.0,10,0,1
Psychiatric,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Small (<50),Retail/Hospitality,1.0,42,1,1
Neurological,Leave of Absence,Concentration/Focus,$1–$500,Mid-size (50–499),Healthcare,3.2,7,2,1
Musculoskeletal,Remote Work / Telework,Stamina/Endurance,"$501–$2,000",Small (<50),Technology,2.2,37,1,1
Psychiatric,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Small (<50),Technology,4.8,44,1,1
Psychiatric,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Healthcare,0.5,11,1,1
Neurological,Remote Work / Telework,Hearing,$0 (No Cost),Small (<50),Government/Public Sector,4.9,16,0,1
Psychiatric,Assistive Technology,Communication,$0 (No Cost),Small (<50),Retail/Hospitality,0.5,5,0,1
Cognitive,Policy Change / Exemption,Vision,$0 (No Cost),Mid-size (50–499),Finance/Insurance,1.7,50,0,1
Neurological,Physical Modification,Concentration/Focus,$0 (No Cost),Large (500+),Government/Public Sector,5.4,44,2,1
Musculoskeletal,Physical Modification,Concentration/Focus,$0 (No Cost),Small (<50),Manufacturing,1.0,16,1,1
Neurological,Ergonomic Equipment,Dexterity,$1–$500,Mid-size (50–499),Healthcare,8.5,76,1,1
Psychiatric,Remote Work / Telework,Dexterity,$0 (No Cost),Small (<50),Healthcare,13.2,40,0,1
Cognitive,Remote Work / Telework,Vision,$0 (No Cost),Large (500+),Retail/Hospitality,1.6,13,0,1
Neurological,Policy Change / Exemption,Concentration/Focus,$1–$500,Small (<50),Technology,4.9,28,0,1
Chronic Illness,Remote Work / Telework,Dexterity,$0 (No Cost),Small (<50),Manufacturing,0.5,17,0,0
Psychiatric,Leave of Absence,Mobility,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,10.8,37,2,1
Neurological,Leave of Absence,Mobility,$0 (No Cost),Small (<50),Healthcare,1.1,27,1,1
Neurological,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Small (<50),Technology,13.2,43,0,1
Cognitive,Assistive Technology,Hearing,$0 (No Cost),Small (<50),Education,3.1,68,2,1
Neurological,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Finance/Insurance,0.9,41,0,1
Neurological,Flexible Scheduling,Vision,$0 (No Cost),Mid-size (50–499),Finance/Insurance,1.2,10,0,1
Musculoskeletal,Assistive Technology,Stamina/Endurance,"$2,001+",Mid-size (50–499),Education,12.1,26,0,1
Musculoskeletal,Remote Work / Telework,Dexterity,"$501–$2,000",Large (500+),Healthcare,3.0,36,1,1
Neurological,Leave of Absence,Dexterity,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,8.1,38,1,1
Musculoskeletal,Policy Change / Exemption,Vision,$0 (No Cost),Large (500+),Education,4.2,13,1,1
Psychiatric,Leave of Absence,Concentration/Focus,$0 (No Cost),Large (500+),Finance/Insurance,6.8,22,1,0
Chronic Illness,Remote Work / Telework,Concentration/Focus,"$501–$2,000",Large (500+),Government/Public Sector,1.2,39,3,1
Cognitive,Remote Work / Telework,Stamina/Endurance,"$501–$2,000",Large (500+),Education,3.1,9,3,1
Psychiatric,Remote Work / Telework,Mobility,$0 (No Cost),Mid-size (50–499),Manufacturing,3.7,19,0,1
Neurological,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Small (<50),Healthcare,2.7,46,1,0
Psychiatric,Ergonomic Equipment,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Education,2.9,63,0,1
Sensory (Vision/Hearing),Remote Work / Telework,Mobility,"$501–$2,000",Small (<50),Finance/Insurance,11.7,23,0,1
Musculoskeletal,Remote Work / Telework,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Government/Public Sector,10.3,4,1,0
Sensory (Vision/Hearing),Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Small (<50),Finance/Insurance,4.1,19,1,1
Sensory (Vision/Hearing),Remote Work / Telework,Vision,$1–$500,Small (<50),Healthcare,0.5,41,1,1
Chronic Illness,Flexible Scheduling,Mobility,$0 (No Cost),Large (500+),Manufacturing,1.0,11,1,1
Psychiatric,Flexible Scheduling,Hearing,$1–$500,Large (500+),Retail/Hospitality,4.2,31,1,0
Cognitive,Physical Modification,Hearing,"$501–$2,000",Mid-size (50–499),Technology,0.5,23,0,1
Psychiatric,Leave of Absence,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Finance/Insurance,1.1,48,1,1
Psychiatric,Flexible Scheduling,Dexterity,$0 (No Cost),Mid-size (50–499),Technology,2.8,72,1,1
Neurological,Policy Change / Exemption,Stamina/Endurance,$1–$500,Large (500+),Healthcare,2.8,22,2,1
Musculoskeletal,Policy Change / Exemption,Dexterity,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,2.9,51,1,1
Chronic Illness,Policy Change / Exemption,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Finance/Insurance,0.5,6,2,1
Chronic Illness,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Education,0.8,148,0,1
Musculoskeletal,Flexible Scheduling,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Manufacturing,8.6,13,2,1
Cognitive,Policy Change / Exemption,Stamina/Endurance,$0 (No Cost),Large (500+),Retail/Hospitality,2.3,77,0,0
Musculoskeletal,Remote Work / Telework,Hearing,$0 (No Cost),Large (500+),Technology,16.8,63,0,1
Neurological,Physical Modification,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Healthcare,0.6,58,1,1
Musculoskeletal,Leave of Absence,Dexterity,$0 (No Cost),Mid-size (50–499),Technology,5.3,28,2,1
Cognitive,Flexible Scheduling,Hearing,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,1.9,62,1,1
Psychiatric,Leave of Absence,Stamina/Endurance,$1–$500,Mid-size (50–499),Retail/Hospitality,2.0,15,0,1
Psychiatric,Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Large (500+),Manufacturing,10.4,5,1,1
Musculoskeletal,Leave of Absence,Vision,$0 (No Cost),Large (500+),Education,20.8,45,3,1
Cognitive,Assistive Technology,Mobility,$0 (No Cost),Mid-size (50–499),Technology,10.2,20,1,1
Cognitive,Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Technology,13.5,63,0,1
Sensory (Vision/Hearing),Assistive Technology,Communication,"$501–$2,000",Mid-size (50–499),Technology,5.4,84,2,1
Cognitive,Leave of Absence,Hearing,"$2,001+",Small (<50),Technology,10.7,31,1,1
Cognitive,Leave of Absence,Mobility,$0 (No Cost),Mid-size (50–499),Finance/Insurance,0.5,7,5,0
Neurological,Leave of Absence,Communication,$1–$500,Large (500+),Retail/Hospitality,3.4,25,0,1
Musculoskeletal,Remote Work / Telework,Concentration/Focus,$1–$500,Mid-size (50–499),Government/Public Sector,3.2,17,0,1
Chronic Illness,Flexible Scheduling,Concentration/Focus,"$2,001+",Small (<50),Healthcare,1.3,53,1,0
Sensory (Vision/Hearing),Remote Work / Telework,Concentration/Focus,$0 (No Cost),Large (500+),Government/Public Sector,1.5,17,1,1
Musculoskeletal,Assistive Technology,Dexterity,$0 (No Cost),Large (500+),Retail/Hospitality,3.5,41,1,1
Psychiatric,Assistive Technology,Vision,$0 (No Cost),Small (<50),Finance/Insurance,0.5,3,2,1
Sensory (Vision/Hearing),Assistive Technology,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Retail/Hospitality,4.3,35,1,1
Musculoskeletal,Remote Work / Telework,Mobility,$1–$500,Mid-size (50–499),Education,0.5,24,2,1
Cognitive,Leave of Absence,Concentration/Focus,$0 (No Cost),Large (500+),Healthcare,1.1,87,0,0
Psychiatric,Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Small (<50),Retail/Hospitality,3.6,42,0,1
Psychiatric,Remote Work / Telework,Stamina/Endurance,$1–$500,Small (<50),Retail/Hospitality,1.2,41,0,1
Chronic Illness,Leave of Absence,Dexterity,"$501–$2,000",Mid-size (50–499),Education,19.4,17,1,1
Psychiatric,Physical Modification,Stamina/Endurance,$0 (No Cost),Small (<50),Education,3.6,15,4,1
Psychiatric,Assistive Technology,Communication,$1–$500,Mid-size (50–499),Manufacturing,4.2,15,3,1
Neurological,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Large (500+),Education,0.5,67,0,1
Chronic Illness,Leave of Absence,Concentration/Focus,$0 (No Cost),Small (<50),Government/Public Sector,12.4,50,2,0
Psychiatric,Ergonomic Equipment,Concentration/Focus,$1–$500,Mid-size (50–499),Healthcare,2.9,27,1,1
Musculoskeletal,Leave of Absence,Hearing,$1–$500,Large (500+),Manufacturing,1.1,80,1,0
Chronic Illness,Policy Change / Exemption,Dexterity,"$2,001+",Mid-size (50–499),Healthcare,1.7,11,0,0
Cognitive,Ergonomic Equipment,Hearing,$0 (No Cost),Mid-size (50–499),Manufacturing,8.1,50,0,1
Neurological,Remote Work / Telework,Vision,$0 (No Cost),Mid-size (50–499),Manufacturing,14.9,16,0,1
Psychiatric,Physical Modification,Stamina/Endurance,$0 (No Cost),Small (<50),Manufacturing,3.4,14,1,0
Psychiatric,Assistive Technology,Hearing,$0 (No Cost),Small (<50),Retail/Hospitality,1.1,24,1,0
Psychiatric,Ergonomic Equipment,Communication,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,0.7,16,2,1
Psychiatric,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Healthcare,0.5,32,0,0
Sensory (Vision/Hearing),Remote Work / Telework,Concentration/Focus,$0 (No Cost),Small (<50),Retail/Hospitality,2.3,28,4,1
Psychiatric,Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Small (<50),Retail/Hospitality,13.2,35,1,1
Neurological,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Large (500+),Finance/Insurance,5.7,33,3,1
Sensory (Vision/Hearing),Leave of Absence,Mobility,"$501–$2,000",Small (<50),Retail/Hospitality,1.2,55,0,1
Neurological,Remote Work / Telework,Dexterity,$0 (No Cost),Large (500+),Finance/Insurance,4.1,11,0,1
Psychiatric,Ergonomic Equipment,Dexterity,$1–$500,Mid-size (50–499),Retail/Hospitality,2.4,17,0,1
Chronic Illness,Policy Change / Exemption,Stamina/Endurance,"$501–$2,000",Mid-size (50–499),Education,3.1,23,2,1
Sensory (Vision/Hearing),Remote Work / Telework,Concentration/Focus,$1–$500,Small (<50),Education,4.9,9,1,1
Sensory (Vision/Hearing),Leave of Absence,Dexterity,$0 (No Cost),Small (<50),Healthcare,0.8,102,1,0
Psychiatric,Remote Work / Telework,Mobility,$0 (No Cost),Mid-size (50–499),Manufacturing,6.5,10,1,1
Psychiatric,Physical Modification,Concentration/Focus,$1–$500,Large (500+),Government/Public Sector,16.0,6,2,1
Cognitive,Physical Modification,Mobility,$1–$500,Small (<50),Finance/Insurance,0.5,8,1,1
Musculoskeletal,Leave of Absence,Mobility,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,5.4,22,1,1
Musculoskeletal,Flexible Scheduling,Mobility,$0 (No Cost),Mid-size (50–499),Healthcare,4.5,40,2,1
Neurological,Remote Work / Telework,Dexterity,$1–$500,Small (<50),Government/Public Sector,0.5,26,1,1
Sensory (Vision/Hearing),Physical Modification,Dexterity,$0 (No Cost),Mid-size (50–499),Healthcare,3.9,7,2,0
Cognitive,Assistive Technology,Dexterity,$1–$500,Small (<50),Retail/Hospitality,1.7,40,2,1
Musculoskeletal,Assistive Technology,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Government/Public Sector,7.9,3,2,1
Cognitive,Flexible Scheduling,Dexterity,$0 (No Cost),Small (<50),Retail/Hospitality,6.8,8,0,1
Psychiatric,Remote Work / Telework,Stamina/Endurance,"$501–$2,000",Mid-size (50–499),Healthcare,17.0,15,0,1
Neurological,Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Education,3.8,53,3,1
Sensory (Vision/Hearing),Flexible Scheduling,Stamina/Endurance,$1–$500,Mid-size (50–499),Manufacturing,0.5,27,0,1
Psychiatric,Remote Work / Telework,Communication,$0 (No Cost),Mid-size (50–499),Healthcare,0.5,27,1,1
Psychiatric,Ergonomic Equipment,Communication,$0 (No Cost),Large (500+),Finance/Insurance,0.5,7,0,1
Musculoskeletal,Flexible Scheduling,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Retail/Hospitality,2.1,17,0,1
Cognitive,Leave of Absence,Communication,$0 (No Cost),Large (500+),Education,8.7,47,0,1
Neurological,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Small (<50),Education,2.4,32,0,0
Cognitive,Policy Change / Exemption,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Government/Public Sector,0.5,41,1,1
Chronic Illness,Leave of Absence,Concentration/Focus,$1–$500,Small (<50),Retail/Hospitality,9.0,24,0,0
Musculoskeletal,Policy Change / Exemption,Hearing,$1–$500,Mid-size (50–499),Finance/Insurance,9.6,48,2,1
Chronic Illness,Flexible Scheduling,Mobility,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,0.5,7,2,1
Psychiatric,Assistive Technology,Mobility,$0 (No Cost),Large (500+),Healthcare,3.6,21,1,1
Psychiatric,Leave of Absence,Mobility,$1–$500,Mid-size (50–499),Retail/Hospitality,2.0,36,1,0
Chronic Illness,Remote Work / Telework,Vision,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,4.4,5,0,1
Chronic Illness,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Small (<50),Retail/Hospitality,12.3,1,0,1
Psychiatric,Flexible Scheduling,Vision,$1–$500,Small (<50),Government/Public Sector,1.4,80,0,1
Neurological,Ergonomic Equipment,Mobility,$0 (No Cost),Large (500+),Technology,11.1,27,0,1
